;Area;sum_volume;mean_volume;point_count;sd_volume;sq_volume;var_sq_volume;var_mean_sq_volume;var_mean_volume;SE
1;Falkenstein-Rachel-Gebiet;6.624.999.985;382.947.976.011.561;173;439.571.600.809.321;32.930.934.887.244;437.020.724.504.065;252.613.135.551.482;158.938.080.884.187;0.0415038310267472
2;Rachel-Lusen-Gebiet;6.482.480.003;325.752.763.969.849;199;634.034.514.142.664;3.367.074.116.359;63.083.841.105.652;317.004.226.661.568;178.046.125.108.514;0.0546568271405347
